page_url,title,price,min_order,order,feedback,seller,store_url,store_feedback
http://www.dhgate.com/w/dance+shoes/1.html,Wholesale-Mary Jane style peep toe sequin kitten heels female stilettos women's ballroom tango salsa Latin dance shoes tacchi,17.215,1,5,0,haitan,//www.dhgate.com/store/20055648,100
http://www.dhgate.com/w/dance+shoes/1.html,24 pcs PVC High Heel Protectors Dance Shoes for Latin Salsa Tango Women Shoes Heel Protector Caps,0.53,24,33,1,kimjojo,//www.dhgate.com/store/20148210,97.6
http://www.dhgate.com/w/dance+shoes/1.html,2018 Designer women high heels party fashion rivets girls sexy pointed shoes Dance shoes wedding shoes Double straps sandals,85.92,1,9,0,wxk20170802,//www.dhgate.com/store/20905115,100
http://www.dhgate.com/w/dance+shoes/1.html,Big Size 35-40 Woman Flat Shoes Flower Embroidery Shoes Women Chinese Old Peking Casual Cloth Mary Jane Dancing Shoes,9.145,1,3,1,foxbag,//www.dhgate.com/store/20752083,93.6
http://www.dhgate.com/w/dance+shoes/1.html,Led Luminous Shoes Boys Girls Fashion Light Up Casual Kids Color Flame USB charge Glowing Children Sneaker Dance Shoes,23.69,1,1,0,choicegoods521,//www.dhgate.com/store/14286678,99.6
http://www.dhgate.com/w/dance+shoes/1.html,Size 35-44 Women &man Sneakers with Platform Canvas Dance Sneakers for Girls and Ladies Sport Prictice Mens Dance Shoes,14.86,1,175,0,vans_shoes,//www.dhgate.com/store/20683613,92.5
http://www.dhgate.com/w/dance+shoes/1.html,2017 Designer women high heels party fashion rivets girls sexy pointed shoes Dance shoes wedding shoes Double straps sandals,38.09,1,6,3,factory_1976,//www.dhgate.com/store/15319760,88
http://www.dhgate.com/w/dance+shoes/1.html,Dance shoes 288 Satin PU Popuplar High Quality Latin Dance Shoes for Women Ladies Girls Tango&Salsa 5.5cm  7cm Heel,12.895,1,113,5,peng1983,//www.dhgate.com/wholesale/products/ff808081519a854601519fb991350949.html,100
http://www.dhgate.com/w/dance+shoes/1.html,2016 Cheap Lace Wedding Shoes Custom Made Dance Shoes For Wedding Activity Socks Bridal Shoes Free Shipping,8.495,1,10,2,xzy1984316,//www.dhgate.com/store/14270624,98.3
http://www.dhgate.com/w/dance+shoes/1.html,2018 Mens Rhyton Casual Shoe Trendy Dad Sneaker Paris Dancing Streetwear Early Spring Women Thick Bottom Sports Leather Sneakers With Box,83.505,1,8,0,factory_store01,//www.dhgate.com/store/19960409,90
http://www.dhgate.com/w/dance+shoes/1.html,boutique Dance Shoes Print girl leotard ballet dance performance wear costume stage short sleeve ballet skirt child Tutu Dancewear Skate,13.51,4,3,2,the_one,//www.dhgate.com/store/the_one,98.6
http://www.dhgate.com/w/dance+shoes/1.html,OFF x Blazer Low Mens Casual shoes New cheap Arrival Athletic shoes white grey outdoor shoes for hip hop Str-Dance,146.135,1,27,0,wsfchiffon,//www.dhgate.com/store/19865063,96.1
http://www.dhgate.com/w/dance+shoes/1.html,Dance Girl Ballet Dance Shoes For Girls Ladies Anti-Slip Soft And Comfortable 5 Colors Ballet Dance Shoes Children Shoes Girls Dance shoes,3.02,15,46,2,wholesaler_goods,//www.dhgate.com/store/wh,97.9
http://www.dhgate.com/w/dance+shoes/1.html,New Pink Leather Bracelet Pink Lampwork Murano Glass Bead Ballet Shoe Dancing Ballerina Charm Bracelets for women girls Jewelry Gift Pulsera,2.835,1,309,4,jenniferboutique,//www.dhgate.com/store/19844942,99.5
http://www.dhgate.com/w/dance+shoes/1.html,2017 Hot Sale Vogue 4 Color Summer women T-stage Classic Dancing High Heel Sandals Sexy Stiletto Party wedding shoes 11 cm heel,23.69,1,3,0,walonshoe,//www.dhgate.com/store/20599861,98.3
http://www.dhgate.com/w/dance+shoes/1.html,10pcs Ballerina Ballet Jewelry Ballet Slippers Dancing Shoes Dance Necklace keyring bookmark cufflink earring bracelet,1.035,10,1,0,diyshop2012,//www.dhgate.com/store/14775346,99.8
http://www.dhgate.com/w/dance+shoes/1.html,Wholesale-2015 New Fashion Women's Sexy Dance Shoes For Latin Ballroom Salsa Tango Glitter Shoes Free Shipping SV22 16862,14.28,1,20,1,wdrf,//www.dhgate.com/store/19873135,96.4
http://www.dhgate.com/w/dance+shoes/1.html,Wholesale-Free Shipping HOT SALE 18cm Sexy High Heels Sandals Women 7 Inch Spool Heels Platform High-Heeled Shoes Pole Dancing Dance Shoes,59.985,1,3,0,yanmai,//www.dhgate.com/store/19994737,97.3
http://www.dhgate.com/w/dance+shoes/1.html,Rivet Women sandals 2017 Designer women high heels party fashion girls sexy pointed shoes Dance shoes wedding shoes Double straps sandals,61.93,1,0,0,sportfansgot,//www.dhgate.com/store/sportfansgot,98.3
http://www.dhgate.com/w/dance+shoes/1.html,NEW Women Ladies Latin Dance Shoes Indoor Suede Sole Prom Party Ballroom Tango Salsa Dancing Shoes Heeled 5.5cm,18.47,1,2,0,baifanchun,//www.dhgate.com/store/14404614,100
