page_url,title,price,min_order,order,feedback,seller,store_url,store_feedback
http://www.dhgate.com/w/dance+shoes/1.html,Hot Selling Solid Color Hip Hop Shoes Men White Dance Shoes Platform High Increased Men High Tops Sapatos Masculinos Plus size Walking shoes,29.94,1,3,1,jiyan,//www.dhgate.com/store/20448528,94.4
http://www.dhgate.com/w/dance+shoes/1.html,OFF x Blazer Low Mens Casual shoes New cheap Arrival Athletic shoes white grey outdoor shoes for hip hop Str-Dance,139.62,1,16,0,cbl1022,//www.dhgate.com/store/19901271,96.4
http://www.dhgate.com/w/dance+shoes/1.html,NEW 2017 Dancing Shoes for Women Jazz Sneaker New Salsa Dance Sneakers for Woman Ballroom Dance Shoes Fitness shoes,16.395,1,47,9,success6,//www.dhgate.com/store/14498336,95
http://www.dhgate.com/w/dance+shoes/1.html,2018 summer Girls Sandals Children kids Party Dancing Shoes baby Princess Crystal Shoes Princess High Quality Shoes Cosplay Accessories,4.195,10,30,0,angela_baby520,//www.dhgate.com/store/20513166,96
http://www.dhgate.com/w/dance+shoes/0.html,Cheap Lace Wedding Shoes Bridal Socks Custom Made Dance Shoes For Wedding Activity Socks Bridal Shoes Free Shipping,6.86,1,233,33,click_me,//www.dhgate.com/store/14427645,99
http://www.dhgate.com/w/dance+shoes/0.html,2017 Designer women high heels party fashion rivets girls sexy pointed shoes Dance shoes wedding shoes Double straps sandals,53.705,1,4728,73,cgf7296902,//www.dhgate.com/store/14190436,98.2
http://www.dhgate.com/w/dance+shoes/0.html,High Quality Promotion Price Satin Ballroom Women Latin Dance Shoes Dancing Shoes for Salsa and Tango 7CM Ladies Girls,15.315,1,7,1,yashion2012,//www.dhgate.com/store/20070812,100
http://www.dhgate.com/w/dance+shoes/0.html,Wholesale-Woman Shoes Platform Pumps Women Fashion Over-the-Knee Thick High Heels Sexy Pointed Toe Elegant Dance Shoes,82.2,1,5,1,beasy111,//www.dhgate.com/store/20325523,95.6
http://www.dhgate.com/w/dance+shoes/0.html,2017 Designer women high heels party fashion rivets girls sexy pointed shoes Dance shoes wedding shoes Double straps sandals,65.515,1,5,3,chengkehan336336,//www.dhgate.com/store/19843701,93
http://www.dhgate.com/w/dance+shoes/0.html,kids' clothes shoes bag School Drawstring Frozen Sport Gym PE Dance Backpacks,1.085,20,1623,1,goodsellers2019,//www.dhgate.com/store/20715892,99.3
http://www.dhgate.com/w/dance+shoes/0.html,Nylon LED Shoelaces Fashion Light Up Casual Sneaker Shoe Laces Disco Party Night Glowing Shoe Strings Hip-hop Dance LED Shoelace2pcs=1pair,1.11,100,550,1,imert,//www.dhgate.com/store/20191496,97.8
http://www.dhgate.com/w/dance+shoes/0.html,Roman Style Ankle Strap Crystal Studded Glitter Shoes Sandals For Women Heels Ballroom Dance Shoes Party wedding Prom Gown size 35 to 40,55.54,1,7,2,tradingbear,//www.dhgate.com/store/tradingbear,97.9
http://www.dhgate.com/w/dance+shoes/0.html,Air retro 12 Doernbecher basketball shoes Wholesale New arrivel 12s Doernbecher Black Hyper Violet-Pink Blast dancing best quality Sneaker,67.85,1,1,1,onehour,//www.dhgate.com/store/20510149,88.2
http://www.dhgate.com/w/dance+shoes/0.html,Luxury Unisex Men And Women High TOP Shoes Cowskin Leather Ladies Athleisure Sneakers Casual Shoes Dance Sports Free Shipping Size 34-45,71.09,1,5,1,favouriteonline,//www.dhgate.com/store/20685156,95.3
http://www.dhgate.com/w/dance+shoes/0.html,No printing sales kids' clothes shoes bag School Drawstring Frozen Sport Gym PE Dance Backpacks,1.64,100,300,1,rhc001,//www.dhgate.com/store/20735894,98.6
http://www.dhgate.com/w/dance+shoes/0.html,"Vintage Ivory Wedding Shoes Wedding Pumps Mimosa T-Straps Buckle Closure Leather Party Dance 3.5"" Heels Women Sandals Short Wedding Boots",90.205,1,57,3,arrowma,//www.dhgate.com/store/17153066,96.4
http://www.dhgate.com/w/dance+shoes/0.html,Designer women high heels party fashion rivets girls sexy pointed 0shoes Dance shoes wedding shoes Double straps sandals,84.325,1,5,2,daived201718,//www.dhgate.com/store/20687746,100
http://www.dhgate.com/w/dance+shoes/0.html,2017 Brand Women's Latin dancing shoes Rhinestone companionship shoes Salsa Party Ballroom dancing shoes,25.075,1,10,2,wd2011,//www.dhgate.com/store/14219372,96.9
http://www.dhgate.com/w/dance+shoes/0.html,Women Kids Ballet Dance Shoes Canvas Black Pink Red White Children Ballet Dancing Shoes For Girls Boys Casual Shoes free fast shipping,3.28,30,60,1,the_one,//www.dhgate.com/store/the_one,98.6
http://www.dhgate.com/w/dance+shoes/0.html,2017 Designer women high heels party fashion rivets girls sexy pointed shoes Dance shoes wedding shoes Double straps sandals,53.705,1,3,1,angelaling,//www.dhgate.com/store/20334798,99.1
http://www.dhgate.com/w/dance+shoes/0.html,OFF x Blazer Low Mens Casual shoes New cheap Arrival Athletic shoes white grey outdoor shoes for hip hop Str-Dance,133.96,1,334,2,friend520,//www.dhgate.com/store/19677064,99.3
http://www.dhgate.com/w/dance+shoes/0.html,dance shoes fashion shoes High Help Korea Style Thick Bottom Women's Shoes Magic Stick Slip,37.93,1,0,0,tiffanyzemg,//www.dhgate.com/wholesale/products/ff80808158e3388b015905c8dc47345a.html,0
http://www.dhgate.com/w/dance+shoes/0.html,aircraft metal models 16cm Alloy Metal Air Emirates A380 Airlines Airplane Model Airbus 380 Airways Plane Model w Stand Aircraft,32.89,1,3,2,deniaiwo1314,//www.dhgate.com/store/19958216,98.8
http://www.dhgate.com/w/dance+shoes/0.html,Wholesale-Cosplay Boot New 2016 Knee High 8cm High Heels Dance Shoes Brown Black White Motorcycle Autumn Women Boots,34.68,1,1,0,aiyin,//www.dhgate.com/store/20059047,93.5
http://www.dhgate.com/w/dance+shoes/0.html,Women Tap Dance Shoes The head layer genuine leather Customized,64.445,1,0,0,uandi,//www.dhgate.com/wholesale/products/ff80808153e55c160153fef51a6c28b1.html,0
http://www.dhgate.com/w/dance+shoes/0.html,Wholesale-Women Lace Flower Ivory Wedding Shoes for Bridal Women High Heels Wedding Shoes Bride Bridesmaid Dancing Shoes,25.06,1,5,4,fair2015,//www.dhgate.com/store/19967452,97.7
http://www.dhgate.com/w/dance+shoes/0.html,400pairs Strutz Cushioned heels essential dance shoe Taekwondo nursing pads health pad Foot Cushioned Arch Supports,1.06,400,400,1,viola,//www.dhgate.com/store/14770197,98.9
http://www.dhgate.com/w/dance+shoes/0.html,2018 new luxury Italian fashion designer shoes standard pregnant women dance special female leisure soft shoes,46.895,1,0,0,linpeilong88,//www.dhgate.com/wholesale/products/ff8080815b1428e8015b3dddc4a94621.html,0
